- - [16/Aug/2020:22:41:16] "GET /product.screen?productId=BS-AG-G09&JSESSIONID=SD4SL1FF4ADFF6059 HTTP 1.1" 200 2839 "http://www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5" 203
- - [17/Aug/2020:03:56:32] "GET /product.screen?productId=PZ-SG-G05&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 340 "http://www.buttercupgames.com" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 393
- - [17/Aug/2020:03:56:33] "GET /category.screen?categoryId=STRATEGY&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 3227 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 844
- - [17/Aug/2020:03:56:34] "GET /oldlink?itemId=EST-15&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 1142 "http://www.buttercupgames.com/product.screen?productId=DB-SG-G01" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 772
- - [17/Aug/2020:03:56:34] "GET /product.screen?productId=DC-SG-G02&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 2850 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 863
- - [17/Aug/2020:03:56:34] "POST /cart.do?action=addtocart&itemId=EST-14&productId=DC-SG-G02&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 2962 "http://www.buttercupgames.com/product.screen?productId=DC-SG-G02" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 701
- - [17/Aug/2020:03:56:35] "POST /cart.do?action=purchase&itemId=EST-14&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 613 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-14&categoryId=STRATEGY&productId=DC-SG-G02" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 538
- - [17/Aug/2020:03:56:36] "POST /cart/success.do?JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 3963 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-14" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 723
- - [17/Aug/2020:03:56:35] "GET /cart.do?action=addtocart&itemId=EST-14&productId=WC-SH-A01&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 1360 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 234
- - [17/Aug/2020:03:56:35] "POST /oldlink?itemId=EST-18&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 400 2469 "http://www.buttercupgames.com/category.screen?categoryId=NULL" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 999
- - [17/Aug/2020:03:56:36] "POST /product.screen?productId=WC-SH-A01&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 1521 "http://www.buttercupgames.com/category.screen?categoryId=ACCESSORIES" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 300
- - [17/Aug/2020:03:56:36] "POST /cart.do?action=addtocart&itemId=EST-14&productId=WC-SH-A01&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 200 3886 "http://www.buttercupgames.com/product.screen?productId=WC-SH-A01" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 757
- - [17/Aug/2020:03:56:37] "POST /cart.do?action=purchase&itemId=EST-14&JSESSIONID=SD10SL10FF8ADFF7860 HTTP 1.1" 503 3017 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-14&categoryId=ACCESSORIES&productId=WC-SH-A01" "Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3" 321
- - [18/Aug/2020:06:30:33] "POST /product.screen?productId=SC-MG-G10&JSESSIONID=SD4SL1FF4ADFF15693 HTTP 1.1" 200 1407 "http://www.buttercupgames.com/category.screen?categoryId=SIMULATION" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" 373
- - [18/Aug/2020:06:30:34] "POST /cart.do?action=addtocart&itemId=EST-7&productId=SC-MG-G10&JSESSIONID=SD4SL1FF4ADFF15693 HTTP 1.1" 200 3727 "http://www.buttercupgames.com/product.screen?productId=SC-MG-G10" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" 551
- - [18/Aug/2020:06:30:36] "POST /cart.do?action=purchase&itemId=EST-7&JSESSIONID=SD4SL1FF4ADFF15693 HTTP 1.1" 200 2607 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-7&categoryId=SIMULATION&productId=SC-MG-G10" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" 107
- - [18/Aug/2020:06:30:36] "POST /cart/error.do?msg=CreditDoesNotMatch&JSESSIONID=SD4SL1FF4ADFF15693 HTTP 1.1" 200 1548 "http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-7" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" 584
- - [18/Aug/2020:06:30:34] "POST /product.screen?productId=BS-AG-G09&JSESSIONID=SD4SL1FF4ADFF15693 HTTP 1.1" 200 1862 "http://www.buttercupgames.com/category.screen?categoryId=ARCADE" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" 964
- - [18/Aug/2020:06:30:34] "POST /cart.do?action=addtocart&itemId=EST-6&productId=BS-AG-G09&JSESSIONID=SD4SL1FF4ADFF15693 HTTP 1.1" 200 3723 "http://www.buttercupgames.com/product.screen?productId=BS-AG-G09" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" 362
- - [18/Aug/2020:06:30:35] "POST /cart.do?action=purchase&itemId=EST-6&JSESSIONID=SD4SL1FF4ADFF15693 HTTP 1.1" 503 2969 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-6&categoryId=ARCADE&productId=BS-AG-G09" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" 672
- - [20/Aug/2020:02:54:13] "GET /cart.do?action=addtocart&itemId=EST-11&productId=WC-SH-T02&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 987 "http://www.yahoo.com" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 831
- - [20/Aug/2020:02:54:14] "GET /product.screen?productId=DC-SG-G02&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 2304 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-12&productId=DC-SG-G02" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 679
- - [20/Aug/2020:02:54:15] "GET /category.screen?categoryId=SHOOTER&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 3535 "http://www.buttercupgames.com/oldlink?itemId=EST-21" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 940
- - [20/Aug/2020:02:54:16] "GET /oldlink?itemId=EST-21&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 316 "http://www.buttercupgames.com/cart.do?action=view&itemId=EST-21&productId=SC-MG-G10" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 213
- - [20/Aug/2020:02:54:17] "GET /category.screen?categoryId=ARCADE&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 1802 "http://www.buttercupgames.com/category.screen?categoryId=ARCADE" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 299
- - [20/Aug/2020:02:54:18] "GET /cart.do?action=addtocart&itemId=EST-6&productId=SC-MG-G10&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 1237 "http://www.buttercupgames.com/oldlink?itemId=EST-6" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 438
- - [20/Aug/2020:02:54:18] "POST /oldlink?itemId=EST-11&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 1020 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 784
- - [20/Aug/2020:02:54:19] "GET /oldlink?itemId=EST-14&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 1304 "http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-14&productId=PZ-SG-G05" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 957
- - [20/Aug/2020:02:54:20] "GET /product.screen?productId=WC-SH-G04&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 200 762 "http://www.buttercupgames.com/oldlink?itemId=EST-16" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 505
- - [20/Aug/2020:02:54:20] "GET /oldlink?itemId=EST-12&JSESSIONID=SD1SL4FF8ADFF28499 HTTP 1.1" 500 1897 "http://www.buttercupgames.com/product.screen?productId=SF-BVS-G01" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)" 605
- - [22/Aug/2020:13:42:12] "POST /product.screen?productId=WC-SH-A02&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 1435 "http://www.google.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 608
- - [22/Aug/2020:13:42:13] "POST /cart.do?action=view&itemId=EST-21&productId=WC-SH-A02&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 2867 "http://www.buttercupgames.com/oldlink?itemId=EST-21" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 881
- - [22/Aug/2020:13:42:14] "GET /product.screen?productId=SF-BVS-G01&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 408 3336 "http://www.buttercupgames.com/category.screen?categoryId=NULL" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 413
- - [22/Aug/2020:13:42:15] "POST /category.screen?categoryId=NULL&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 408 3084 "http://www.buttercupgames.com/category.screen?categoryId=NULL" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 212
- - [22/Aug/2020:13:42:16] "GET /product.screen?productId=DB-SG-G01&JSESSIONID=SD7SL10FF1ADFF44694 HTTP 1.1" 200 2030 "http://www.buttercupgames.com/category.screen?categoryId=STRATEGY" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; MS-RTC LM 8; InfoPath.2)" 437
